reference	data.jso	thumbnail.png	index.html	volume.nrrd
VFB_a0000123 	1	1	1	0
VFB_a0000124 	1	1	1	0
VFB_a0000125 	1	1	1	0
VFB_a0000126 	1	1	1	0
VFB_a0000127 	1	1	1	0
VFB_a0000128 	1	1	1	0
VFB_a0000129 	1	1	1	0
VFB_a0000130 	1	1	1	0
VFB_a0000131 	1	1	1	0
VFB_a0000132 	1	1	1	0
VFB_a0000133 	1	1	1	0
VFB_a0000134 	1	1	1	0
VFB_a0000135 	1	1	1	0
VFB_a0000136 	1	1	1	0
VFB_a0000137 	1	1	1	0
VFB_a0000138 	1	1	1	0
VFB_a0000139 	1	1	1	0
VFB_a0000140 	1	1	1	0
VFB_a0000141 	1	1	1	0
VFB_a0000142 	1	1	1	0
VFB_a0000143 	1	1	1	0
VFB_a0000144 	1	1	1	0
VFB_a0000145 	1	1	1	0
VFB_a0000146 	1	0	1	0
VFB_a0000147 	1	1	1	0
VFB_a0000148 	1	1	1	0
VFB_a0000149 	1	1	1	0
VFB_a0000150 	1	1	1	0
VFB_a0000151 	1	1	1	0
VFB_a0000152 	1	1	1	0
VFB_a0000153 	1	1	1	0
VFB_a0000154 	1	1	1	0
VFB_a0000155 	1	1	1	0
VFB_a0000156 	1	1	1	0
VFB_a0000157 	1	1	1	0
VFB_a0000158 	1	1	1	0
VFB_a0000159 	1	1	1	0
VFB_a0000160 	1	1	1	0
VFB_a0000161 	1	1	1	0
VFB_a0000162 	1	1	1	0
VFB_a0000163 	1	1	1	0
VFB_a0000164 	1	1	1	0
VFB_a0000165 	1	1	1	0
VFB_a0000166 	1	1	1	0
VFB_a0000167 	1	1	1	0
VFB_a0000168 	1	1	1	0
VFB_a0000169 	1	1	1	0
VFB_a0000170 	1	0	1	0
VFB_a0000171 	1	1	1	0
VFB_a0000172 	1	1	1	0
VFB_a0000173 	1	1	1	0
VFB_a0000174 	1	1	1	0
VFB_a0000175 	1	1	1	0
VFB_a0000176 	1	1	1	0
VFB_a0000177 	1	1	1	0
VFB_a0000178 	1	1	1	0
VFB_a0000179 	1	1	1	0
VFB_a0000180 	1	1	1	0
VFB_a0000181 	1	1	1	0
VFB_a0000182 	1	1	1	0
VFB_a0000183 	1	1	1	0
VFB_a0000184 	1	1	1	0
VFB_a0000185 	1	1	1	0
VFB_a0000186 	1	1	1	0
VFB_a0000187 	1	1	1	0
VFB_a0000188 	1	1	1	0
VFB_a0000189 	1	1	1	0
VFB_a0000190 	1	1	1	0
VFB_a0000191 	1	1	1	0
VFB_a0000192 	1	1	1	0
VFB_a0000193 	1	1	1	0
VFB_a0000194 	1	1	1	0
VFB_a0000195 	1	0	1	0
VFB_a0000196 	1	1	1	0
VFB_a0000197 	1	1	1	0
VFB_a0000198 	1	1	1	0
VFB_a0000199 	1	1	1	0
VFB_a0000200 	1	1	1	0
VFB_a0000201 	1	1	1	0
VFB_a0000202 	1	0	1	0
VFB_a0000203 	1	1	1	0
VFB_a0000204 	1	1	1	0
VFB_a0000205 	1	1	1	0
VFB_a0000206 	1	1	1	0
VFB_a0000207 	1	1	1	0
VFB_a0000208 	1	1	1	0
VFB_a0000209 	1	1	1	0
VFB_a0000210 	1	1	1	0
VFB_a0000211 	1	1	1	0
VFB_a0000212 	1	0	1	0
