ff	brightest
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000050_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	129
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000050_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	172
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000050_seg004_03_warp_m0g80c8e1e-1x26r4.nrrd	94
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000050_seg005_03_warp_m0g80c8e1e-1x26r4.nrrd	103
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000052_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	160
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000052_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	169
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000052_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	201
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000053_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	92
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000053_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	51
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000053_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	193
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000055_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	197
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000055_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	196
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000055_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	192
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000057_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	57
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000057_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	101
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000058_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	180
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000059_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	194
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000059_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	189
